#;N_P;EB_P_OA_100;EB_P_OA_200;EB_P_OA_300;EB_P_OA_400;EB_P100;EB_P200;EB_P300;EB_P400;IB_P_OA100;IB_P_OA200;IB_P_OA300;IB_P_OA400;IB_P100;IB_P200;IB_P300;IB_P400;IB_PL_OA100;IB_PL_OA200;IB_PL_OA300;IB_PL_OA400;IB_PL100;IB_PL200;IB_PL300;IB_PL400;IB_PL_OA_U100;IB_PL_OA_U200;IB_PL_OA_U300;IB_PL_OA_U400;IB_PL_U100;IB_PL_U200;IB_PL_U300;IB_PL_U400
4000;206817600;130605440;130154760;130020895;129931230;131916680;131459960;131326649;131237580;120121680;119668860;119534353;119444260;121426720;120970960;120837924;120749040;95826160;95375100;95241121;95151380;97137360;96680280;96546848;96457700;176961600;176961600;176961600;176961600;176961600;176961600;176961600;176961600
4100;211990904;133873440;133422760;133266361;133199230;135217461;134760741;134604594;134538361;123127586;122674766;122517618;122450166;124465252;124009492;123853668;123787572;98224678;97773618;97617086;97549898;99568658;99111578;98955292;98888998;181388504;181388504;181388504;181388504;181388504;181388504;181388504;181388504
4200;217160688;137137920;136664706;136508410;136441176;138514722;138035166;137879304;137812786;126129972;125654511;125497466;125429911;127500264;127021716;126866176;126799796;100619676;100146063;99989634;99922343;101996436;101516502;101360500;101293922;185811888;185811888;185811888;185811888;185811888;185811888;185811888;185811888
4300;222330088;140402016;139928802;139772506;139682841;141811599;141332043;141176181;141087112;129131974;128656513;128499468;128409375;130534892;130056344;129900804;129811920;103014290;102540677;102384248;102294507;104423830;103943896;103787894;103698746;190234888;190234888;190234888;190234888;190234888;190234888;190234888;190234888
4400;227503264;143669888;143174140;143017844;142928257;145112252;144609860;144453998;144365242;132137752;131639650;131482605;131392590;133573296;133071960;132916420;132827848;105412680;104916514;104760085;104670422;106855000;106352212;106196210;106107374;194661664;194661664;194661664;194661664;194661664;194661664;194661664;194661664
4500;232673368;146934688;146438940;146260213;146193057;148409833;147907441;147729028;147662823;135140458;134642356;134462773;134395296;136608628;136107292;135929248;135863180;107807998;107311832;107132953;107065740;109283098;108780310;108601738;108535472;199085368;199085368;199085368;199085368;199085368;199085368;199085368;199085368
4600;237843856;150199872;149681590;149525397;149435707;151707798;151182570;151026993;150937952;138143548;137622805;137465863;137375745;139644344;139120220;138964964;138876108;110203700;109684981;109528655;109438889;111711580;111185938;111030220;110941100;203509456;203509456;203509456;203509456;203509456;203509456;203509456;203509456
4700;243013832;153464544;152946262;152767535;152677948;155005251;154480023;154301610;154212854;141146126;140625383;140445800;140355785;142679548;142155424;141977380;141888808;112598890;112080171;111901292;111811629;114139550;113613908;113435336;113346500;207933032;207933032;207933032;207933032;207933032;207933032;207933032;207933032
4800;248185280;156730688;156189872;156011248;155921636;158304176;157756112;157577984;157489256;144150176;143606792;143427312;143337272;145716224;145169312;144991552;144903008;114995552;114454280;114275504;114185816;116568992;116020496;115842208;115753400;212358080;212358080;212358080;212358080;212358080;212358080;212358080;212358080
4900;253355320;159995424;159454608;159275984;159186372;161601693;161053629;160875501;160786773;147152818;146609434;146429954;146339914;148751492;148204580;148026820;147938276;117390806;116849534;116670758;116581070;118997026;118448530;118270242;118181434;216781720;216781720;216781720;216781720;216781720;216781720;216781720;216781720
5000;258523888;163258688;162695338;162516714;162427102;164897738;164326838;164148710;164059982;150153988;149587963;149408483;149318443;151785288;151215588;151037828;150949284;119784588;119220763;119041987;118952299;121423588;120852238;120673950;120585142;221203888;221203888;221203888;221203888;221203888;221203888;221203888;221203888
